nohup: ignoring input
 INFO  Accepting connections at http://localhost:8080
 HTTP  9/7/2025 5:00:23 PM 167.94.138.38 Returned 200 in 1 ms
 HTTP  9/7/2025 5:00:25 PM 167.94.138.38 GET /favicon.ico
 HTTP  9/7/2025 5:00:25 PM 167.94.138.38 Returned 200 in 1 ms
 HTTP  9/7/2025 5:00:34 PM 167.94.138.38 GET /favicon.ico
 HTTP  9/7/2025 5:00:34 PM 167.94.138.38 Returned 200 in 1 ms
 HTTP  9/7/2025 5:00:36 PM 167.94.138.38 GET /wiki
 HTTP  9/7/2025 5:00:36 PM 167.94.138.38 Returned 200 in 1 ms
 HTTP  9/7/2025 5:06:26 PM 167.94.145.104 GET /
 HTTP  9/7/2025 5:06:26 PM 167.94.145.104 Returned 200 in 1 ms
 HTTP  9/7/2025 5:06:31 PM 167.94.145.104 GET /
 HTTP  9/7/2025 5:06:31 PM 167.94.145.104 Returned 200 in 3 ms
 HTTP  9/7/2025 5:06:32 PM 167.94.145.104 GET /favicon.ico
 HTTP  9/7/2025 5:06:32 PM 167.94.145.104 Returned 200 in 2 ms
 HTTP  9/7/2025 5:06:41 PM 167.94.145.104 GET /favicon.ico
 HTTP  9/7/2025 5:06:41 PM 167.94.145.104 Returned 200 in 2 ms
 HTTP  9/7/2025 5:06:42 PM 167.94.145.104 GET /sitemap.xml
 HTTP  9/7/2025 5:06:42 PM 167.94.145.104 Returned 200 in 2 ms
 HTTP  9/7/2025 5:58:32 PM 127.0.0.1 GET /
 HTTP  9/7/2025 5:58:32 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 6:06:41 PM 68.183.205.143 GET /
 HTTP  9/7/2025 6:06:41 PM 68.183.205.143 Returned 200 in 1 ms
 HTTP  9/7/2025 6:06:41 PM 68.183.205.143 GET /download/powershell/
 HTTP  9/7/2025 6:06:41 PM 68.183.205.143 Returned 200 in 1 ms
 HTTP  9/7/2025 6:06:42 PM 68.183.205.143 GET /get.php
 HTTP  9/7/2025 6:06:42 PM 68.183.205.143 Returned 200 in 2 ms
 HTTP  9/7/2025 6:17:09 PM 193.32.162.211 GET /
 HTTP  9/7/2025 6:17:09 PM 193.32.162.211 Returned 200 in 1 ms
 HTTP  9/7/2025 6:17:09 PM 193.32.162.211 GET /favicon.ico
